summary_level,include_stage_directions,play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
play,false,coriolanus,Coriolanus,,,,,1141,2239,28542,0,0.05372,0.0,-0.01691,-0.02022,0.42533,0.40741
act,false,coriolanus,Coriolanus,main,1,,,251,531,6848,0,0.02823,0.0,-0.00184,-0.015,0.44038,0.40067
act,false,coriolanus,Coriolanus,main,2,,,229,411,5857,0,0.12642,0.0,-0.02494,-0.01998,0.41101,0.3954
act,false,coriolanus,Coriolanus,main,3,,,264,451,5152,0,0.016,0.0,-0.03085,-0.03096,0.38933,0.39382
act,false,coriolanus,Coriolanus,main,4,,,236,439,5314,0,0.06095,0.0,0.00451,-0.01643,0.41969,0.41983
act,false,coriolanus,Coriolanus,main,5,,,161,407,5371,0,0.04755,0.0,-0.03613,-0.02603,0.45557,0.42895
scene,false,coriolanus,Coriolanus,main,1,1,1,92,179,2267,0,0.05068,0.0,-0.027,-0.02442,0.42488,0.38241
scene,false,coriolanus,Coriolanus,main,1,2,2,12,24,302,0,-0.01175,0.0,-0.03849,-0.00112,0.3563,0.33699
scene,false,coriolanus,Coriolanus,main,1,3,3,41,84,1103,0,0.109,0.0,-0.00032,-0.04531,0.44573,0.42031
scene,false,coriolanus,Coriolanus,main,1,4,4,31,59,644,0,-0.08024,0.0,0.07463,0.03402,0.4305,0.42679
scene,false,coriolanus,Coriolanus,main,1,5,5,10,24,230,0,-0.05853,0.0,0.11218,0.34941,0.4918,0.53957
scene,false,coriolanus,Coriolanus,main,1,6,6,27,68,941,0,0.13324,0.0,-0.0137,-0.01057,0.43294,0.36317
scene,false,coriolanus,Coriolanus,main,1,7,7,3,8,71,0,0.00779,0.0,-0.19973,-0.15705,0.32534,0.26504
scene,false,coriolanus,Coriolanus,main,1,8,8,7,10,142,0,-0.47792,-0.47475,-0.04842,-0.25958,0.37635,0.52991
scene,false,coriolanus,Coriolanus,main,1,9,9,20,55,817,0,0.03992,0.0,-0.00782,-0.00526,0.44975,0.41607
scene,false,coriolanus,Coriolanus,main,1,10,10,8,20,331,0,-0.16775,0.0,0.05772,0.0373,0.44677,0.33208
scene,false,coriolanus,Coriolanus,main,2,1,11,95,163,2118,0,0.10671,0.0,-0.00676,-0.01943,0.40533,0.41794
scene,false,coriolanus,Coriolanus,main,2,2,12,43,89,1548,0,0.1785,0.0,-0.02226,-0.00454,0.43891,0.39829
scene,false,coriolanus,Coriolanus,main,2,3,13,91,159,2191,0,0.11748,0.0,-0.04509,-0.0344,0.40075,0.37081
scene,false,coriolanus,Coriolanus,main,3,1,14,159,265,2829,0,-0.01848,0.0,-0.04561,-0.05162,0.37303,0.39843
scene,false,coriolanus,Coriolanus,main,3,2,15,43,85,1202,0,0.12693,0.0,-0.01854,-0.03194,0.4101,0.3732
scene,false,coriolanus,Coriolanus,main,3,3,16,62,101,1121,0,0.01311,0.0,-0.00251,0.00041,0.39982,0.40039
scene,false,coriolanus,Coriolanus,main,4,1,17,11,34,504,0,0.15573,0.2023,0.11416,0.22184,0.39297,0.4775
scene,false,coriolanus,Coriolanus,main,4,2,18,33,55,504,0,0.05762,0.0,0.14163,0.15351,0.44828,0.37343
scene,false,coriolanus,Coriolanus,main,4,3,19,19,34,402,0,0.21005,0.2732,0.05747,0.05364,0.34615,0.40611
scene,false,coriolanus,Coriolanus,main,4,4,20,9,16,228,0,0.0392,0.0,0.10387,0.01801,0.43393,0.3872
scene,false,coriolanus,Coriolanus,main,4,5,21,82,154,1821,0,0.04529,0.0,0.01353,-0.01775,0.4036,0.40588
scene,false,coriolanus,Coriolanus,main,4,6,22,75,125,1344,0,0.01169,0.0,-0.08562,-0.08692,0.42084,0.43183
scene,false,coriolanus,Coriolanus,main,4,7,23,7,21,511,0,0.09944,0.0,-0.22335,-0.28441,0.55219,0.33992
scene,false,coriolanus,Coriolanus,main,5,1,24,22,49,659,0,0.17762,0.0,-0.27562,-0.3405,0.42572,0.37764
scene,false,coriolanus,Coriolanus,main,5,2,25,35,76,893,0,0.00726,0.0,-0.01529,-0.0096,0.42007,0.39231
scene,false,coriolanus,Coriolanus,main,5,3,26,30,111,1823,0,0.04314,0.0,-0.04753,-0.09927,0.4664,0.45518
scene,false,coriolanus,Coriolanus,main,5,4,27,22,51,546,0,0.13675,0.0,-0.02739,-0.01525,0.47789,0.38632
scene,false,coriolanus,Coriolanus,main,5,5,28,2,5,50,0,0.33288,0.4926,0.3895,0.55306,0.37645,0.43061
scene,false,coriolanus,Coriolanus,main,5,6,29,50,115,1400,0,-0.02894,0.0,0.04075,0.05729,0.45858,0.4279
play,false,cymbeline,Cymbeline,,,,,887,2757,31199,0,0.0461,0.0,-0.03122,-0.0262,0.41875,0.41066
act,false,cymbeline,Cymbeline,main,1,,,225,562,6912,0,0.10085,0.0,-0.03668,-0.04556,0.42087,0.41607
act,false,cymbeline,Cymbeline,main,2,,,147,423,4457,0,0.05474,0.0,-0.0382,-0.0429,0.40404,0.3868
act,false,cymbeline,Cymbeline,main,3,,,164,634,7032,0,0.0431,0.0,-0.02155,-0.02271,0.39805,0.40418
act,false,cymbeline,Cymbeline,main,4,,,150,492,5142,0,-0.00229,0.0,-0.02779,-0.02235,0.40551,0.40718
act,false,cymbeline,Cymbeline,main,5,,,201,646,7656,0,0.03259,0.0,-0.03398,-0.02029,0.45065,0.43064
scene,false,cymbeline,Cymbeline,main,1,1,1,62,156,1756,0,0.06236,0.0,-0.01461,-0.04556,0.38579,0.46384
scene,false,cymbeline,Cymbeline,main,1,2,2,21,31,305,0,-0.09001,0.0,-0.08255,-0.125,0.33838,0.41693
scene,false,cymbeline,Cymbeline,main,1,3,3,14,26,396,0,0.09298,0.0,-0.04455,-0.10768,0.41864,0.42132
scene,false,cymbeline,Cymbeline,main,1,4,4,53,119,1716,0,0.18299,0.1877,-0.10954,-0.11187,0.4059,0.33017
scene,false,cymbeline,Cymbeline,main,1,5,5,20,73,825,0,0.01009,0.0,-0.0921,-0.06939,0.38367,0.37556
scene,false,cymbeline,Cymbeline,main,1,6,6,55,157,1914,0,0.15802,0.1779,0.03273,0.00794,0.47479,0.43369
scene,false,cymbeline,Cymbeline,main,2,1,7,27,54,565,0,-0.0995,0.0,-0.11744,-0.14024,0.34951,0.37865
scene,false,cymbeline,Cymbeline,main,2,2,8,9,64,657,0,0.03685,0.0,-0.00161,-0.01181,0.3822,0.38527
scene,false,cymbeline,Cymbeline,main,2,3,9,54,142,1405,0,0.06716,0.0,-0.01715,-0.04215,0.37729,0.3933
scene,false,cymbeline,Cymbeline,main,2,4,10,56,137,1521,0,0.15343,0.0,-0.01729,-0.01811,0.41285,0.3835
scene,false,cymbeline,Cymbeline,main,2,5,11,1,26,309,0,-0.16868,-0.0867,-0.18884,-0.15057,0.49002,0.35978
scene,false,cymbeline,Cymbeline,main,3,1,12,17,49,745,0,0.06646,0.0,-0.04976,-0.05716,0.42881,0.35507
scene,false,cymbeline,Cymbeline,main,3,2,13,8,91,1095,0,0.12692,0.0,0.02344,-0.00853,0.35679,0.39633
scene,false,cymbeline,Cymbeline,main,3,3,14,10,72,1003,0,0.08925,0.0,-0.05579,-0.02254,0.37185,0.41299
scene,false,cymbeline,Cymbeline,main,3,4,15,35,167,1823,0,-0.06374,0.0,-0.09409,-0.07012,0.40461,0.40038
scene,false,cymbeline,Cymbeline,main,3,5,16,57,150,1375,0,0.06687,0.0,0.04359,-0.00698,0.39257,0.40556
scene,false,cymbeline,Cymbeline,main,3,6,17,31,96,896,0,0.07502,0.0,-0.01026,-0.02649,0.4131,0.42546
scene,false,cymbeline,Cymbeline,main,3,7,18,6,9,95,0,-0.05488,0.0,0.09086,0.09964,0.32591,0.32465
scene,false,cymbeline,Cymbeline,main,4,1,19,1,16,243,0,0.21662,0.5016,-0.13825,-0.30407,0.51901,0.40599
scene,false,cymbeline,Cymbeline,main,4,2,20,126,400,4038,0,0.00537,0.0,-0.01234,-0.01682,0.39361,0.40656
scene,false,cymbeline,Cymbeline,main,4,3,21,10,40,401,0,-0.07634,0.0,-0.06713,-0.11191,0.4282,0.41298
scene,false,cymbeline,Cymbeline,main,4,4,22,13,36,460,0,-0.10234,0.0,-0.10668,-0.05554,0.42626,0.4055
scene,false,cymbeline,Cymbeline,main,5,1,23,1,22,303,0,-0.08918,-0.0258,0.07123,0.11144,0.50037,0.49403
scene,false,cymbeline,Cymbeline,main,5,2,24,6,14,171,0,0.01849,0.0,-0.1291,-0.07818,0.39071,0.43649
scene,false,cymbeline,Cymbeline,main,5,3,25,18,67,958,0,-0.08057,0.0,-0.17148,-0.23549,0.49123,0.36568
scene,false,cymbeline,Cymbeline,main,5,4,26,36,141,1852,0,0.03295,0.0,-0.08979,-0.0626,0.45559,0.40872
scene,false,cymbeline,Cymbeline,main,5,5,27,140,402,4372,0,0.05848,0.0,0.00607,0.00161,0.43907,0.43842
play,false,hamlet,Hamlet,,,,,1181,2814,32584,0,0.03241,0.0,-0.0276,-0.01981,0.41364,0.40498
act,false,hamlet,Hamlet,main,1,,,259,609,6902,0,0.03426,0.0,0.00626,-0.01154,0.38836,0.42508
act,false,hamlet,Hamlet,main,2,,,208,464,5952,0,0.08465,0.0,0.00315,-0.00561,0.43155,0.41648
act,false,hamlet,Hamlet,main,3,,,260,670,8074,0,0.05341,0.0,-0.06351,-0.03659,0.44405,0.40578
act,false,hamlet,Hamlet,main,4,,,191,458,5570,0,-0.00778,0.0,-0.04061,-0.01857,0.41795,0.40297
act,false,hamlet,Hamlet,main,5,,,263,613,6086,0,-0.0019,0.0,-0.03555,-0.02184,0.38052,0.37203
